row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
333,tr,f22c18,59917.750092592585,59918.027418965234,256.0,4708.0,4580.0,4836.0,22757.95979804825,379.29932996747084,6.321655499457847,0.2634023124774103
334,stk,r117_59917_253,59917.79240385668,59917.916703479714,98.4375,1381.46484375,1332.24609375,1430.68359375,10739.487430290319,178.99145717150532,2.983190952858422,0.12429962303576758
335,stk,r117_59917_254,59917.91671529238,59918.04103299849,98.4375,1381.46484375,1332.24609375,1430.68359375,10741.049808030948,179.0174968005158,2.9836249466752633,0.1243177061114693
336,wb,p11727,59918.49111111112,59918.98885359852,64.0,332.0,300.0,364.0,41826.40947718173,697.1068246196955,11.618447076994926,0.48410196154145524
337,stk,r117_59918_255,59918.67529794151,59918.83650452702,98.4375,1381.46484375,1332.24609375,1430.68359375,13928.248987882398,232.1374831313733,3.868958052189555,0.16120658550789813
338,tr,f22l17,59918.73966435184,59918.98888884379,128.0,1414.0,1350.0,1478.0,20486.96753885597,341.44945898093283,5.6908243163488805,0.23711767984787002
339,stk,r117_59919_256,59919.62604438975,59919.7302214267,98.4375,1381.46484375,1332.24609375,1430.68359375,9000.89599234052,150.01493320567533,2.5002488867612556,0.10417703694838565
340,stk,r117_59919_257,59919.73024707474,59919.833590348135,98.4375,1381.46484375,1332.24609375,1430.68359375,8928.858821466565,148.81431369110942,2.4802385615184903,0.10334327339660376
341,stk,r117_59920_258,59920.53225597053,59920.65712154951,98.4375,1381.46484375,1332.24609375,1430.68359375,10788.386024069041,179.80643373448402,2.9967738955747336,0.12486557898228057
342,stk,r117_59920_259,59920.65715840339,59920.78131194586,98.4375,1381.46484375,1332.24609375,1430.68359375,10726.866069459356,178.78110115765594,2.9796850192942657,0.1241535424705944
343,tr,f22c19,59920.72230324074,59920.99964119782,256.0,4708.0,4580.0,4836.0,22745.968772890046,379.09947954816744,6.318324659136124,0.26326352746400516
344,stk,r117_59920_260,59920.781363080125,59920.905199177556,98.4375,1381.46484375,1332.24609375,1430.68359375,10699.438818055203,178.32398030092006,2.9720663383486676,0.12383609743119448
345,stk,r117_59920_261,59920.90520807749,59920.9895890352,98.4375,1381.46484375,1332.24609375,1430.68359375,7290.514745749532,121.50857909582554,2.0251429849304254,0.0843809577054344
